field,avg_similarity
#1,1.000
#Party 3,0.800
$1. 40,1.000
$1.95,1.000
$15,1.000
':42,1.000
(305 ) 386-6638,1.000
(3171541,1.000
(562),1.000
(Diganos,1.000
),1.000
+,1.000
0,1.000
0.35,1.000
000141,1.000
04/25 17,0.800
0480,0.800
"05,35",1.000
1,1.000
10325 Hammocks Bivd,1.000
11:19,1.000
13.95,0.800
158,0.800
18%,1.000
1897,1.000
2,1.000
2 Lunch,1.000
20%,1.000
25.95,0.800
35 (<,1.000
4 Albil &38,1.000
46226,1.000
"5,00",1.000
5.00,1.000
5.35,1.000
5/26/2016 12.53:10 PM,1.000
54,1.000
6,1.000
69,0.800
7.61,1.000
7230,1.000
8,1.000
8262,1.000
8:38,1.000
9/1/2016,1.000
AVE,1.000
Acct,1.000
Approval :571883,1.000
Back,1.000
Balence:,1.000
Bar Tab: Bar Tab,1.000
Bow],1.000
C0o14 1,1.000
CASH,1.000
CA_,1.000
CG,1.000
Ca,1.000
Cash Tendered:,1.000
Cashier :,1.000
Chance =,1.000
Chicken Parmesan,1.000
Co f fee,1.000
Coffee,1.000
Coke,1.000
Cream,1.000
Created: 4/20/2017 10:13;17 PM,1.000
DAJA,1.000
DOWNLOAD THE KPP,1.000
DRINK,1.000
DRIVE THRU,1.000
Dine,1.000
Dine In,1.000
E PaciFiC coaST hwy,1.000
E] Gran Har de Plata,1.000
Espanol ),1.000
FL 33176,1.000
For a,1.000
GFEEN FIELD,1.000
GOLDEN BOWL  TERIYAK [,1.000
GRANI) IITX CAFR,0.800
Goce,1.000
Gratuity Not Included,0.800
Guests,1.000
I,1.000
IDO,1.000
IS IERE,1.000
Ie,1.000
Igl,1.000
It's been,0.800
J.00,1.000
KKITKKKKKKKKIKKIXIKKKIKKEKKKKKKAKX,1.000
Kt,1.000
MQBILE,1.000
Manager1,1.000
Miami,1.000
Miller Lite,1.000
No Cheese,1.000
ORDERING,1.000
Order,1.000
Order   378752,1.000
Orger_0279-438,1.000
PLATE,1.000
Pendleton,1.000
Pike,1.000
Power,1.000
Pr=,0.800
REG,1.000
Receipt,1.000
Rg Orarge Crsh Fz,1.000
SETTLED,1.000
SETTLED: 4/20/2017 10:13:25 PM,1.000
SUB   TOTAL,1.000
SUB TOTAL;,1.000
Sales Tax:,1.000
See,1.000
Server,1.000
Server : Kayra,1.000
Sour,1.000
Stat ion,1.000
Station: 10,1.000
Sub Total,1.000
Sub Total:,1.000
SubTotal,1.000
Survey 5,1.000
SvrCk:,0.800
TEL:,1.000
THANK   YOU!e,1.000
TOTAL,1.000
TOTAL;,1.000
Tab,0.800
Tacp Bell 017814,1.000
Tax,1.000
Tax I,1.000
Tax:,1.000
Thank,1.000
Thank Y0u for dining with us,0.800
Ticket,1.000
Total,1.000
U_,1.000
Veg,1.000
Visa,1.000
XKHERE,1.000
XXXXXKXX2276,1.000
al671,1.000
ddl,1.000
skkd,1.000
skx,1.000
to HIN,1.000
visitingl,1.000
vou for,1.000
~2211-1303,1.000

total_files,5
exact_match_files,3
exact_match_rate,0.600
